taxon1,taxon2,taxon3,taxon4,CF12.34,CF13.24,CF14.23
A_Lyr,Bsch_0,Hey_1,Nw_0,0.279,0.31,0.411
A_Lyr,Bsch_0,Is_0,Ragl_1,0.234,0.262,0.504
A_Lyr,Bsch_0,Is_0,Tu_0,0.263,0.256,0.481
A_Lyr,Bsch_0,Is_0,Tha_1,0.239,0.228,0.533
A_Lyr,Bsch_0,Is_0,Uod_1,0.215,0.226,0.559
A_Lyr,Bsch_0,Is_0,Uk_1,0.244,0.235,0.521
A_Lyr,Bsch_0,Is_0,Van_0,0.197,0.25,0.553
A_Lyr,Bsch_0,Is_0,Vind_1,0.193,0.239,0.568
A_Lyr,Bsch_0,Is_0,Wa_1,0.194,0.228,0.578
A_Lyr,Bsch_0,Is_0,Wt_5,0.228,0.263,0.509
A_Lyr,Bsch_0,Is_0,Yo_0,0.212,0.228,0.56
A_Lyr,Bsch_0,Jm_0,Kro_0,0.337,0.342,0.321
A_Lyr,Bsch_0,Jm_0,Nw_0,0.328,0.336,0.336
A_Lyr,Bsch_0,Jm_0,Mnz_0,0.275,0.343,0.382
A_Lyr,Bsch_0,Jm_0,Pla_0,0.279,0.338,0.383
A_Lyr,Bsch_0,Jm_0,Pna_17,0.333,0.297,0.371
A_Lyr,Bsch_0,Jm_0,Qar_8a,0.252,0.246,0.503
A_Lyr,Bsch_0,Kro_0,Nw_0,0.513,0.237,0.25
A_Lyr,Bsch_0,Jm_0,Rome_1,0.343,0.316,0.34
A_Lyr,Bsch_0,Kro_0,Pna_17,0.481,0.222,0.298
A_Lyr,Bsch_0,Jm_0,Ragl_1,0.268,0.397,0.335
A_Lyr,Bsch_0,Kro_0,Yo_0,0.495,0.221,0.284
A_Lyr,Bsch_0,Jm_0,Tu_0,0.3,0.397,0.303
A_Lyr,Bsch_0,Jm_0,Yo_0,0.334,0.3,0.365
A_Lyr,Bsch_0,Jm_0,Vind_1,0.345,0.301,0.355
A_Lyr,Bsch_0,Jm_0,Van_0,0.341,0.325,0.334
A_Lyr,Bsch_0,Jm_0,Tha_1,0.233,0.39,0.377
A_Lyr,Bsch_0,Kro_0,Rome_1,0.394,0.282,0.323
A_Lyr,Bsch_0,Jm_0,Uk_1,0.339,0.331,0.33
A_Lyr,Bsch_0,Kro_0,Van_0,0.407,0.293,0.3
A_Lyr,Bsch_0,Jm_0,Uod_1,0.352,0.299,0.349
A_Lyr,Bsch_0,Kro_0,Vind_1,0.402,0.272,0.326
A_Lyr,Bsch_0,Kro_0,Tu_0,0.329,0.377,0.295
A_Lyr,Bsch_0,Jm_0,Wt_5,0.238,0.421,0.341
A_Lyr,Bsch_0,Jm_0,Wa_1,0.339,0.301,0.36
A_Lyr,Bsch_0,Kro_0,Tha_1,0.253,0.378,0.37
A_Lyr,Bsch_0,Mnz_0,Tha_1,0.333,0.349,0.318
A_Lyr,Bsch_0,Kro_0,Ragl_1,0.385,0.338,0.277
A_Lyr,Bsch_0,Kro_0,Uod_1,0.285,0.322,0.393
A_Lyr,Bsch_0,Kro_0,Qar_8a,0.263,0.242,0.494
A_Lyr,Bsch_0,Kro_0,Mnz_0,0.31,0.314,0.376
A_Lyr,Bsch_0,Kro_0,Wt_5,0.281,0.39,0.33
A_Lyr,Bsch_0,Kro_0,Uk_1,0.262,0.371,0.367
A_Lyr,Bsch_0,Kro_0,Pla_0,0.284,0.328,0.387
A_Lyr,Bsch_0,Mnz_0,Tu_0,0.293,0.423,0.284
A_Lyr,Bsch_0,Mnz_0,Nw_0,0.308,0.36,0.331
A_Lyr,Bsch_0,Kro_0,Wa_1,0.301,0.314,0.386
A_Lyr,Bsch_0,Mnz_0,Qar_8a,0.264,0.248,0.488
A_Lyr,Bsch_0,Mnz_0,Pna_17,0.303,0.331,0.366
A_Lyr,Bsch_0,Mnz_0,Uod_1,0.314,0.332,0.354
A_Lyr,Bsch_0,Mnz_0,Uk_1,0.274,0.383,0.343
A_Lyr,Bsch_0,Nw_0,Pna_17,0.464,0.24,0.296
A_Lyr,Bsch_0,Mnz_0,Ragl_1,0.286,0.401,0.313
A_Lyr,Bsch_0,Mnz_0,Rome_1,0.284,0.357,0.359
A_Lyr,Bsch_0,Mnz_0,Vind_1,0.291,0.34,0.369
A_Lyr,Bsch_0,Mnz_0,Van_0,0.287,0.371,0.342
A_Lyr,Bsch_0,Mnz_0,Wa_1,0.339,0.316,0.345
A_Lyr,Bsch_0,Mnz_0,Wt_5,0.482,0.312,0.206
A_Lyr,Bsch_0,Mnz_0,Pla_0,0.304,0.338,0.358
A_Lyr,Bsch_0,Mnz_0,Yo_0,0.307,0.328,0.365
A_Lyr,Bsch_0,Nw_0,Pla_0,0.277,0.34,0.383
A_Lyr,Bsch_0,Nw_0,Rome_1,0.384,0.295,0.321
A_Lyr,Bsch_0,Nw_0,Qar_8a,0.262,0.251,0.487
A_Lyr,Bsch_0,Nw_0,Ragl_1,0.422,0.322,0.256
A_Lyr,Bsch_0,Nw_0,Tha_1,0.258,0.388,0.354
A_Lyr,Bsch_0,Nw_0,Tu_0,0.307,0.399,0.294
A_Lyr,Bsch_0,Nw_0,Van_0,0.374,0.32,0.306
A_Lyr,Bsch_0,Nw_0,Uk_1,0.288,0.364,0.348
A_Lyr,Bsch_0,Nw_0,Uod_1,0.25,0.348,0.402
A_Lyr,Bsch_0,Nw_0,Vind_1,0.368,0.301,0.331
A_Lyr,Bsch_0,Nw_0,Yo_0,0.487,0.232,0.281
A_Lyr,Bsch_0,Pna_17,Yo_0,0.565,0.22,0.216
A_Lyr,Bsch_0,Nw_0,Wt_5,0.285,0.391,0.324
A_Lyr,Bsch_0,Nw_0,Wa_1,0.263,0.336,0.4
A_Lyr,Bsch_0,Ragl_1,Tha_1,0.258,0.348,0.394
A_Lyr,Bsch_0,Pla_0,Pna_17,0.327,0.33,0.343
A_Lyr,Bsch_0,Qar_8a,Vind_1,0.291,0.458,0.251
A_Lyr,Bsch_0,Ragl_1,Tu_0,0.239,0.4,0.36
A_Lyr,Bsch_0,Pla_0,Tu_0,0.29,0.429,0.281
A_Lyr,Bsch_0,Pla_0,Qar_8a,0.319,0.238,0.442
A_Lyr,Bsch_0,Pna_17,Rome_1,0.421,0.31,0.269
A_Lyr,Bsch_0,Pla_0,Tha_1,0.299,0.381,0.32
A_Lyr,Bsch_0,Pla_0,Uod_1,0.318,0.339,0.343
A_Lyr,Bsch_0,Pla_0,Ragl_1,0.32,0.399,0.28
A_Lyr,Bsch_0,Pna_17,Vind_1,0.449,0.283,0.268
A_Lyr,Bsch_0,Pla_0,Uk_1,0.306,0.379,0.314
A_Lyr,Bsch_0,Pna_17,Tu_0,0.297,0.427,0.275
A_Lyr,Bsch_0,Ragl_1,Uod_1,0.325,0.284,0.391
A_Lyr,Bsch_0,Pla_0,Rome_1,0.34,0.347,0.313
A_Lyr,Bsch_0,Pna_17,Van_0,0.428,0.319,0.253
A_Lyr,Bsch_0,Pla_0,Wa_1,0.295,0.345,0.361
A_Lyr,Bsch_0,Pna_17,Ragl_1,0.355,0.386,0.259
A_Lyr,Bsch_0,Pna_17,Tha_1,0.298,0.388,0.313
A_Lyr,Bsch_0,Pla_0,Vind_1,0.328,0.337,0.335
A_Lyr,Bsch_0,Pla_0,Van_0,0.359,0.342,0.298
A_Lyr,Bsch_0,Pla_0,Yo_0,0.309,0.342,0.35
A_Lyr,Bsch_0,Pna_17,Qar_8a,0.288,0.263,0.448
A_Lyr,Bsch_0,Pla_0,Wt_5,0.259,0.44,0.301
A_Lyr,Bsch_0,Pna_17,Uod_1,0.302,0.362,0.337
A_Lyr,Bsch_0,Pna_17,Wt_5,0.29,0.432,0.279
A_Lyr,Bsch_0,Pna_17,Uk_1,0.289,0.393,0.318
A_Lyr,Bsch_0,Ragl_1,Vind_1,0.274,0.311,0.415
A_Lyr,Bsch_0,Ragl_1,Van_0,0.306,0.316,0.379
A_Lyr,Bsch_0,Pna_17,Wa_1,0.283,0.361,0.355
A_Lyr,Bsch_0,Ragl_1,Wa_1,0.284,0.303,0.413
A_Lyr,Bsch_0,Qar_8a,Ragl_1,0.259,0.517,0.224
A_Lyr,Bsch_0,Qar_8a,Wt_5,0.216,0.563,0.22
A_Lyr,Bsch_0,Qar_8a,Uod_1,0.279,0.468,0.253
A_Lyr,Bsch_0,Qar_8a,Tha_1,0.246,0.511,0.242
A_Lyr,Bsch_0,Qar_8a,Uk_1,0.268,0.506,0.226
A_Lyr,Bsch_0,Qar_8a,Tu_0,0.231,0.56,0.209
A_Lyr,Bsch_0,Ragl_1,Yo_0,0.365,0.26,0.374
A_Lyr,Bsch_0,Qar_8a,Van_0,0.281,0.478,0.241
A_Lyr,Bsch_0,Ragl_1,Rome_1,0.275,0.322,0.404
A_Lyr,Bsch_0,Ragl_1,Wt_5,0.275,0.378,0.348
A_Lyr,Bsch_0,Rome_1,Tha_1,0.286,0.386,0.328
A_Lyr,Bsch_0,Qar_8a,Yo_0,0.29,0.451,0.259
A_Lyr,Bsch_0,Qar_8a,Rome_1,0.288,0.471,0.242
A_Lyr,Bsch_0,Ragl_1,Uk_1,0.339,0.301,0.36
A_Lyr,Bsch_0,Qar_8a,Wa_1,0.26,0.478,0.262
A_Lyr,Bsch_0,Rome_1,Tu_0,0.293,0.417,0.289
A_Lyr,Bsch_0,Rome_1,Uk_1,0.307,0.36,0.333
A_Lyr,Bsch_0,Rome_1,Van_0,0.435,0.288,0.277
A_Lyr,Bsch_0,Rome_1,Uod_1,0.302,0.337,0.361
A_Lyr,Bsch_0,Rome_1,Vind_1,0.442,0.265,0.293
A_Lyr,Bsch_0,Tha_1,Uod_1,0.274,0.331,0.395
A_Lyr,Bsch_0,Tha_1,Tu_0,0.273,0.397,0.33
A_Lyr,Bsch_0,Tha_1,Van_0,0.289,0.336,0.375
A_Lyr,Bsch_0,Tu_0,Wt_5,0.314,0.336,0.35
A_Lyr,Bsch_0,Rome_1,Yo_0,0.4,0.281,0.319
A_Lyr,Bsch_0,Van_0,Wt_5,0.276,0.406,0.318
A_Lyr,Bsch_0,Tha_1,Uk_1,0.26,0.364,0.377
A_Lyr,Bsch_0,Rome_1,Wt_5,0.277,0.417,0.306
A_Lyr,Bsch_0,Van_0,Wa_1,0.285,0.323,0.392
A_Lyr,Bsch_0,Vind_1,Wa_1,0.279,0.352,0.368
A_Lyr,Bsch_0,Rome_1,Wa_1,0.299,0.335,0.366
A_Lyr,Bsch_0,Tha_1,Wa_1,0.311,0.306,0.383
A_Lyr,Bsch_0,Tha_1,Wt_5,0.282,0.389,0.329
A_Lyr,Bsch_0,Tu_0,Yo_0,0.312,0.265,0.422
A_Lyr,Bsch_0,Tha_1,Vind_1,0.298,0.312,0.39
A_Lyr,Bsch_0,Tha_1,Yo_0,0.292,0.32,0.388
A_Lyr,Bsch_0,Tu_0,Vind_1,0.307,0.275,0.418
A_Lyr,Bsch_0,Tu_0,Uk_1,0.275,0.324,0.401
A_Lyr,Bsch_0,Tu_0,Uod_1,0.31,0.277,0.413
A_Lyr,Cnt_1,Co_1,Ha_0,0.3,0.334,0.365
A_Lyr,Cnt_1,Co_1,Dra_0,0.363,0.312,0.325
A_Lyr,Bsch_0,Tu_0,Wa_1,0.27,0.285,0.445
A_Lyr,Cnt_1,Co_1,Hau_0,0.306,0.361,0.334
A_Lyr,Bsch_0,Tu_0,Van_0,0.32,0.286,0.394
A_Lyr,Bsch_0,Uk_1,Uod_1,0.357,0.293,0.35
